gender	nationality	main_crime_age	criminal_records	main_crime_category	main_crime_is_violent	risk01_previous_violence	risk02_history_nonviolent_offences	risk03_early_violence_before_14	risk04_past_intervention_fail	risk05_self_harm_suicide_attempts	risk06_violence_at_home	risk07_childhood_mistreatment	risk08_criminal_parent_caregiver	risk09_early_separation_parents	risk10_poor_school_achievement	risk11_delinquency_peer_group	risk12_rejection_peer_group	risk13_poor_stress_coping	risk14_poor_parental_skills_parents	risk15_lack_of_personal_social_support	risk16_marginalized_environment	risk17_negative_attitudes	risk18_risk_taker_impulsive	risk19_drug_abuse	risk20_anger_management_issues	risk21_low_empaty	risk22_attention_deficit	risk23_poor_compliance_interventions	risk24_low_commitment_school	protective01_prosocial_activities	protective02_strong_social_support	protective03_strong_link_prosocial_adult	protective04_positive_attitude_interventions	protective05_high_commitment_school_or_work	protective06_perseverant_personality	average_01_antisocial	average_02_family	average_03_personality	average_04_social_support	average_05_susceptibility_treatment	sum_historic_risk_items	sum_social_risk_items	sum_individual_risk_items	sum_all_risk_items	sum_all_protective_items	professional_risk_evaluation	recidivism	recidivism_number_offences	recidividm_category_first_offence	recidivism_violence_first_offence	recidivism_severity
Female	Spanish	16	1 or 2 criminal records	Others	No violent	Moderate	Low	Moderate	Low	Low	Low	Low	Low	High	Moderate	Moderate	Low	Low	Moderate	Low	Moderate	Low	Low	Low	Low	Low	Low	Low	Low	Present	Present	Present	Present	Present	Present	0.428571428571429	0.5	0	0.4	0.142857142857143	5	3	0	8	0	Low	No	0	Not applicable	Not applicable	0	
Male	Foreigner	15	0 criminal records	Violent against property	Violent	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	Low	Low	Low	Moderate	Moderate	Low	Low	Moderate	Low	Low	Moderate	Moderate	Moderate	Low	Present	Present	Present	Present	Absent	Present	0	0	0.428571428571429	0.4	0.571428571428571	2	2	4	8	1	Low	No	0	Not applicable	Not applicable	0	
Male	Spanish	17	0 criminal records	Against persons	Violent	Moderate	Low	High	Moderate	Low	Moderate	Moderate	Moderate	Low	High	Moderate	Low	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Low	Moderate	Moderate	Absent	Present	Present	Absent	Absent	Present	0.857142857142857	0.75	0.714285714285714	0.6	1	9	6	6	21	3	Moderate	No	0	Not applicable	Not applicable	0	
Male	Spanish	16	0 criminal records	Against persons	Violent	Low	Low	Low	Low	Low	Low	Low	Low	Low	Moderate	Low	Low	Moderate	Moderate	Moderate	Low	Low	Low	Low	Moderate	Moderate	Low	Low	Moderate	Absent	Absent	Present	Present	Absent	Absent	0	0	0.428571428571429	0.6	0.714285714285714	1	3	3	7	4	Low	No	0	Not applicable	Not applicable	0	
Male	Spanish	15	3 to 5 criminal records	Against persons	Violent	Moderate	Low	Low	Low	Low	Low	Low	Low	Low	Moderate	Low	Low	Moderate	Moderate	Low	Low	Low	Low	Moderate	Moderate	Low	Low	Low	Low	Present	Present	Present	Present	Present	Absent	0.285714285714286	0	0.285714285714286	0.2	0.285714285714286	2	2	2	6	1	Low	No	0	Not applicable	Not applicable	0	
Male	Foreigner	17	3 to 5 criminal records	Nonviolent against property	No violent	Moderate	High	Low	Low	Low	Moderate	Moderate	Moderate	High	High	High	Moderate	Moderate	High	High	High	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Absent	Absent	Absent	Present	Present	Absent	0.857142857142857	1.25	0.857142857142857	1.6	0.857142857142857	10	10	7	27	4	Moderate	No	0	Not applicable	Not applicable	0	
Female	Foreigner	16	1 or 2 criminal records	Nonviolent against property	No violent	Low	Moderate	Low	Moderate	Low	Low	Low	Low	Moderate	High	Moderate	Low	High	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Low	Low	Moderate	Moderate	High	Absent	Absent	Absent	Absent	Absent	Absent	0.428571428571429	0.25	0.714285714285714	1	1.28571428571429	5	6	6	17	6	Moderate	No	0	Not applicable	Not applicable	0	
Male	Spanish	17	3 to 5 criminal records	Nonviolent against property	No violent	Moderate	Moderate	Low	Low	Low	Low	Low	Low	Low	High	High	Moderate	Moderate	Moderate	Low	Low	Low	Moderate	High	Moderate	Low	Low	Low	Low	Present	Present	Absent	Present	Present	Absent	0.857142857142857	0	0.571428571428571	0.4	0.428571428571429	4	5	4	13	2	Moderate	Yes	1	Others	No violent	1	
Male	Spanish	15	1 or 2 criminal records	Others	No violent	Moderate	Moderate	Low	Low	Low	Low	Low	Low	Low	High	Low	Low	Low	Low	Low	Low	Low	Moderate	Low	Low	Moderate	Low	Low	Low	Present	Present	Present	Present	Present	Present	0.285714285714286	0	0.285714285714286	0	0.285714285714286	4	0	2	6	0	Low	No	0	Not applicable	Not applicable	0	
Male	Foreigner	15	More than 5 criminal records	Others	No violent	High	Moderate	Moderate	Moderate	High	Moderate	Moderate	Low	High	Low	High	Low	High	Moderate	Low	Low	Moderate	High	High	High	Moderate	Low	Low	Low	Absent	Present	Present	Present	Present	Absent	1.57142857142857	1	1.14285714285714	0.2	0.285714285714286	11	5	8	24	2	Moderate	No	0	Not applicable	Not applicable	0	
Male	Foreigner	17	1 or 2 criminal records	Violent against property	Violent	Moderate	Moderate	Low	Low	Low	Low	Low	Low	Low	High	Moderate	Low	Moderate	Moderate	Low	Moderate	Low	Low	Low	Low	Low	Low	Moderate	Low	Absent	Present	Present	Present	Present	Present	0.428571428571429	0	0.142857142857143	0.4	0.571428571428571	4	4	1	9	1	Low	Yes	3	Nonviolent against property	No violent	3	
Male	Spanish	16	3 to 5 criminal records	Violent against property	Violent	High	High	High	High	Low	Low	Moderate	Low	Low	High	High	Moderate	Moderate	Moderate	Moderate	Low	Low	Moderate	High	Low	Low	High	Moderate	Moderate	Absent	Present	Present	Absent	Present	Present	1.71428571428571	0.25	0.714285714285714	0.4	0.857142857142857	11	6	7	24	2	Moderate	No	0	Not applicable	Not applicable	0	
Female	Foreigner	16	1 or 2 criminal records	Nonviolent against property	No violent	Low	Moderate	Low	Moderate	Low	Low	Low	Low	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Low	Moderate	Moderate	Low	Moderate	Present	Present	Present	Present	Present	Present	0.428571428571429	0.25	0.714285714285714	0.6	0.285714285714286	4	5	5	14	0	Low	No	0	Not applicable	Not applicable	0	
Male	Foreigner	16	1 or 2 criminal records	Against persons	Violent	High	Low	Low	Low	Low	Moderate	Low	Moderate	High	Moderate	Low	Low	Low	Moderate	Low	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Low	Moderate	Low	Present	Present	Present	Present	Present	Present	0.285714285714286	1	0.571428571428571	0.4	0.285714285714286	7	2	5	14	0	Moderate	No	0	Not applicable	Not applicable	0	
Male	Spanish	17	1 or 2 criminal records	Nonviolent against property	No violent	Moderate	Moderate	Low	Moderate	Low	High	Moderate	Moderate	Moderate	High	High	Moderate	High	Moderate	High	High	Moderate	High	Moderate	High	Moderate	Moderate	Moderate	High	Absent	Absent	Absent	Absent	Absent	Present	0.857142857142857	1.25	1.42857142857143	1.4	1.14285714285714	10	10	11	31	5	High	No	0	Not applicable	Not applicable	0	
Male	Spanish	16	3 to 5 criminal records	Others	No violent	High	Low	Low	Moderate	Low	Low	Low	High	Low	Moderate	Moderate	Low	Low	Low	Low	Low	Low	Moderate	Moderate	Low	Low	Low	Low	Low	Present	Present	Present	Present	Present	Present	0.714285714285714	0.5	0.142857142857143	0	0.142857142857143	6	1	2	9	0	Low	No	0	Not applicable	Not applicable	0	
Male	Spanish	17	0 criminal records	Against persons	Violent	Low	Low	Low	Moderate	Moderate	Low	Moderate	Moderate	Low	Moderate	Moderate	Low	High	High	Low	High	Moderate	Moderate	Moderate	High	Moderate	Moderate	Low	Low	Present	Present	Present	Present	Present	Absent	0.571428571428571	0.5	1.14285714285714	0.8	0.285714285714286	5	7	7	19	1	High	No	0	Not applicable	Not applicable	0	
Male	Spanish	15	0 criminal records	Against persons	Violent	Low	Low	Low	Moderate	Low	High	High	Moderate	Moderate	High	Moderate	Moderate	High	High	Moderate	Low	Moderate	Moderate	Low	Moderate	Moderate	Low	Moderate	Low	Absent	Absent	Present	Present	Absent	Absent	0.285714285714286	1.5	1	0.8	0.857142857142857	9	7	5	21	4	Low	Yes	1	Nonviolent against property	No violent	1	
Male	Foreigner	16	1 or 2 criminal records	Nonviolent against property	No violent	Moderate	Low	Low	Low	Low	Low	Low	Low	Low	High	Moderate	Low	Moderate	Low	Low	Low	Low	Low	Low	Low	Moderate	Low	Low	Moderate	Present	Present	Present	Present	Present	Absent	0.285714285714286	0	0.285714285714286	0	0.571428571428571	3	2	2	7	1	Moderate	No	0	Not applicable	Not applicable	0	
Male	Spanish	16	1 or 2 criminal records	Against persons	Violent	Moderate	Moderate	Low	Low	Low	High	High	Moderate	Moderate	Moderate	Low	Low	Low	Low	Low	Low	Low	Low	Low	Moderate	Low	Moderate	Low	Low	Present	Present	Present	Present	Present	Present	0.285714285714286	1.5	0.285714285714286	0	0.142857142857143	9	0	2	11	0	Low	No	0	Not applicable	Not applicable	0	
Male	Spanish	17	1 or 2 criminal records	Against persons	Violent	High	Low	Low	Low	Low	Low	Moderate	Low	Low	High	High	Low	Low	High	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Low	High	High	Absent	Present	Absent	Absent	Absent	Absent	0.571428571428571	0.25	0.571428571428571	1	1.42857142857143	5	6	8	19	5	High	No	0	Not applicable	Not applicable	0	
Male	Spanish	17	3 to 5 criminal records	Nonviolent against property	No violent	Moderate	High	Low	Low	Low	High	High	Moderate	Low	High	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Low	Low	Moderate	Low	Moderate	Low	Low	Low	Absent	Present	Present	Present	Present	Present	0.714285714285714	1.25	0.285714285714286	0.6	0.428571428571429	10	5	2	17	1	Moderate	No	0	Not applicable	Not applicable	0	
Male	Spanish	17	1 or 2 criminal records	Against persons	Violent	Moderate	Moderate	Low	Moderate	Low	Low	Low	Low	Low	High	Moderate	Low	Low	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Low	Low	Absent	Present	Present	Present	Present	Absent	0.714285714285714	0	0.571428571428571	0.4	0.571428571428571	5	3	5	13	2	Moderate	No	0	Not applicable	Not applicable	0	
Female	Foreigner	17	0 criminal records	Nonviolent against property	No violent	Low	Low	Low	Low	Low	Moderate	Low	Low	Low	High	Low	Low	Moderate	Low	Low	Low	Moderate	Moderate	Low	Low	Low	Low	Low	Moderate	Present	Present	Present	Present	Present	Present	0	0.25	0.428571428571429	0	0.428571428571429	3	1	3	7	0	Low	No	0	Not applicable	Not applicable	0	
Male	Spanish	16	3 to 5 criminal records	Violent against property	Violent	High	High	Moderate	Low	Low	Moderate	High	High	Low	Moderate	High	Low	Moderate	High	High	High	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Low	Moderate	Absent	Absent	Present	Present	Present	Present	1.14285714285714	1.25	0.714285714285714	1.4	0.428571428571429	11	9	6	26	2	Moderate	No	0	Not applicable	Not applicable	0	
Female	Spanish	17	3 to 5 criminal records	Violent against property	Violent	High	High	High	High	Low	Low	High	High	Low	High	High	High	Moderate	High	Moderate	Low	Moderate	Moderate	Low	High	High	Moderate	Moderate	High	Absent	Absent	Present	Present	Absent	Absent	1.42857142857143	1	1.42857142857143	0.8	1.14285714285714	14	8	10	32	4	Moderate	No	0	Not applicable	Not applicable	0	
Male	Spanish	16	1 or 2 criminal records	Against persons	Violent	High	Low	Moderate	Moderate	High	Moderate	Moderate	Low	High	High	Moderate	Moderate	High	Moderate	Moderate	Low	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Absent	Absent	Present	Present	Present	Absent	1.14285714285714	1	1.28571428571429	0.6	0.857142857142857	12	6	9	27	3	Moderate	Yes	3	Against people	Violent	4	
Male	Spanish	17	More than 5 criminal records	Nonviolent against property	No violent	High	High	Moderate	Moderate	Low	Low	Low	High	Moderate	High	Moderate	Low	Moderate	High	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Low	Moderate	High	Present	Present	Present	Present	Absent	Absent	1	0.75	0.714285714285714	0.8	1	11	6	7	24	2	Moderate	Yes	1	Nonviolent against property	No violent	2	
Male	Spanish	14	0 criminal records	Against persons	Violent	Low	Low	Low	Low	Low	Low	Low	Moderate	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Present	Present	Present	Present	Present	Present	0	0.75	0	0	0	3	0	0	3	0	Low	No	0	Not applicable	Not applicable	0	
Male	Spanish	17	1 or 2 criminal records	Nonviolent against property	No violent	Low	Moderate	Moderate	Low	Low	Low	Moderate	Low	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Low	Low	High	High	Low	Moderate	Low	Low	Absent	Absent	Present	Present	Present	Absent	0.714285714285714	0.5	0.714285714285714	0.6	0.571428571428571	6	5	5	16	3	Moderate	No	0	Not applicable	Not applicable	0	
Male	Spanish	16	0 criminal records	Nonviolent against property	No violent	Low	Moderate	Low	Low	Low	High	High	Moderate	Low	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Present	Present	Present	Present	Present	Present	0.142857142857143	1.25	0	0	0.285714285714286	8	0	0	8	0	Low	No	0	Not applicable	Not applicable	0	
Male	Spanish	14	1 or 2 criminal records	Others	No violent	Moderate	Moderate	Low	Low	Low	Low	Low	Low	Low	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Absent	Present	Present	Present	Present	Absent	0.285714285714286	0	0	0	0.571428571428571	4	0	0	4	2	Low	Yes	1	Nonviolent against property	No violent	0	
Male	Foreigner	15	More than 5 criminal records	Violent against property	Violent	High	High	High	High	Moderate	Low	Moderate	Moderate	Moderate	High	High	Low	Low	High	Moderate	High	Moderate	High	High	High	High	Low	Moderate	Moderate	Present	Absent	Absent	Absent	Absent	Absent	1.85714285714286	0.75	1	1.4	1	14	7	11	32	5	Moderate	Yes	2	Against people	Violent	3	
Male	Foreigner	16	1 or 2 criminal records	Against persons	Violent	Moderate	Low	Low	Low	Low	Low	Low	Moderate	Low	High	Low	Low	Moderate	Low	Low	Low	Low	Moderate	Moderate	Moderate	Low	Low	Low	Moderate	Absent	Present	Absent	Present	Absent	Absent	0.285714285714286	0.25	0.428571428571429	0.2	0.857142857142857	4	1	4	9	4	Moderate	Yes	3	Against people	Violent	3	
Male	Foreigner	14	3 to 5 criminal records	Violent against property	Violent	High	High	High	High	Low	High	Low	Moderate	High	High	Moderate	Low	Low	Moderate	Moderate	Moderate	Low	Low	Moderate	Moderate	Moderate	Low	Low	Low	Present	Present	Present	Present	Present	Present	1.42857142857143	1.25	0.285714285714286	0.6	0.285714285714286	15	4	3	22	0	Low	No	0	Not applicable	Not applicable	0	
Male	Spanish	15	1 or 2 criminal records	Nonviolent against property	No violent	Low	Low	Low	Low	Low	High	Moderate	Low	Low	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Low	Moderate	Low	Low	Absent	Absent	Absent	Present	Present	Absent	0.142857142857143	0.75	0.857142857142857	1.2	0.428571428571429	4	7	4	15	4	Low	Yes	4	Others	No violent	2	
Male	Foreigner	14	3 to 5 criminal records	Violent against property	Violent	Moderate	Moderate	Moderate	High	Moderate	Low	High	Low	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Low	Low	Absent	Absent	Present	Present	Present	Absent	1.14285714285714	1	0.857142857142857	0.8	0.428571428571429	11	6	5	22	3	High	Yes	5	Nonviolent against property	No violent	1	
Male	Spanish	14	More than 5 criminal records	Others	No violent	High	Moderate	Low	High	Low	Low	Low	Moderate	High	High	Moderate	Low	Moderate	High	High	Low	Moderate	High	Moderate	High	High	Low	High	High	Absent	Absent	Absent	Absent	Absent	Absent	1	0.75	1.14285714285714	1.2	1.42857142857143	10	6	12	28	6	High	No	0	Not applicable	Not applicable	0	
Female	Spanish	14	0 criminal records	Violent against property	Violent	Low	Low	Low	Low	Low	Low	Low	Low	Moderate	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Present	Present	Present	Present	Present	Present	0	0.25	0	0	0.285714285714286	3	0	0	3	0	Low	Yes	1	Against people	Violent	2	
Male	Spanish	17	More than 5 criminal records	Against persons	Violent	High	High	High	Moderate	Moderate	Low	Low	Moderate	High	High	High	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	High	Present	Absent	Present	Present	Absent	Absent	1.57142857142857	0.75	0.714285714285714	0.8	1	13	6	8	27	3	Moderate	No	0	Not applicable	Not applicable	0	
Male	Spanish	16	1 or 2 criminal records	Against persons	Violent	Low	Low	Low	Low	Moderate	Moderate	Moderate	Low	Low	Moderate	Low	Low	Moderate	Moderate	Low	Low	Low	Moderate	Low	Moderate	Moderate	Low	Low	Moderate	Present	Present	Present	Present	Present	Absent	0.142857142857143	0.5	0.571428571428571	0.2	0.428571428571429	4	2	4	10	1	Low	No	0	Not applicable	Not applicable	0	
Male	Spanish	16	3 to 5 criminal records	Violent against property	Violent	Moderate	Moderate	Low	Low	Moderate	Moderate	High	Moderate	High	Moderate	High	Moderate	High	High	High	High	Moderate	Low	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Present	Absent	Present	Present	Absent	Absent	0.857142857142857	1.5	0.857142857142857	1.4	0.714285714285714	10	11	6	27	3	High	Yes	5	Violent against property	Violent	4	
Male	Foreigner	14	3 to 5 criminal records	Violent against property	Violent	Moderate	Moderate	Moderate	Low	Low	Low	Low	Low	Low	High	Moderate	Moderate	Low	High	High	Low	Low	Low	Low	Low	Moderate	High	Low	Low	Present	Absent	Present	Present	Present	Absent	0.571428571428571	0	0.571428571428571	1	0.428571428571429	5	6	3	14	2	Moderate	Yes	2	Against people	Violent	1	
Male	Foreigner	17	3 to 5 criminal records	Violent against property	Violent	High	Moderate	Low	Low	Low	Low	Low	Low	Low	Moderate	Moderate	Low	Low	Low	Moderate	Low	Moderate	Low	Moderate	Low	Low	Low	Low	Moderate	Absent	Absent	Absent	Present	Absent	Present	0.714285714285714	0	0.142857142857143	0.6	0.571428571428571	4	2	3	9	4	Moderate	Yes	3	Nonviolent against property	No violent	3	
Male	Spanish	15	0 criminal records	Others	No violent	Moderate	Moderate	Low	Low	Low	Low	Low	Low	Low	High	Low	Low	Low	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Low	Moderate	Low	Moderate	Low	Present	Present	Present	Absent	Present	Absent	0.428571428571429	0	0.428571428571429	0.4	0.714285714285714	4	2	5	11	2	Moderate	No	0	Not applicable	Not applicable	0	
Male	Spanish	16	1 or 2 criminal records	Against persons	Violent	Low	Low	Low	Low	Low	Moderate	Low	Low	Low	Low	Low	Low	Moderate	High	Moderate	Low	Low	High	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Absent	Absent	Present	Absent	Absent	Absent	0.142857142857143	0.25	0.714285714285714	0.8	0.857142857142857	1	4	7	12	5	Moderate	Yes	1	Against people	Violent	2	
Female	Spanish	16	3 to 5 criminal records	Against persons	Violent	High	Moderate	Moderate	High	High	Low	High	Low	High	High	Low	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Low	Low	Absent	Present	Present	Present	Absent	Present	1.28571428571429	1	0.857142857142857	0.4	0.571428571428571	14	4	5	23	2	Low	Yes	2	Against people	Violent	2	
Male	Foreigner	17	More than 5 criminal records	Against persons	Violent	High	Moderate	Moderate	High	Low	Moderate	Moderate	Low	High	High	High	Low	High	High	Moderate	Moderate	High	Low	Moderate	Moderate	High	Low	Moderate	High	Absent	Absent	Absent	Absent	Absent	Absent	1.28571428571429	1	1	1.2	1.28571428571429	12	8	9	29	6	High	Yes	2	Violent against property	Violent	3	
Male	Foreigner	16	More than 5 criminal records	Violent against property	Violent	High	Moderate	Low	Moderate	Low	Low	Moderate	High	High	High	Moderate	Moderate	High	High	High	Moderate	Moderate	Moderate	High	Moderate	High	High	Moderate	High	Absent	Present	Absent	Present	Absent	Absent	1	1.25	1.42857142857143	1.2	1.14285714285714	11	9	12	32	4	High	Yes	2	Others	No violent	2	
Male	Spanish	16	1 or 2 criminal records	Nonviolent against property	No violent	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	Low	Low	Moderate	Low	Moderate	Low	Low	Moderate	Moderate	Moderate	Low	Moderate	Low	Moderate	Absent	Absent	Absent	Present	Absent	Absent	0.142857142857143	0	0.571428571428571	0.6	0.857142857142857	2	2	5	9	5	Low	No	0	Not applicable	Not applicable	0	
Male	Foreigner	17	0 criminal records	Against persons	Violent	Low	Moderate	Low	Low	Low	Low	Low	Low	Low	Moderate	Low	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Low	Moderate	Low	Low	Low	Present	Present	Present	Present	Present	Present	0.142857142857143	0	0.571428571428571	0.6	0.142857142857143	2	4	3	9	0	Low	No	0	Not applicable	Not applicable	0	
Male	Spanish	16	0 criminal records	Violent against property	Violent	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	Low	Low	Low	Low	Low	Low	Low	Low	Moderate	Low	Low	Low	Low	Low	Present	Present	Present	Present	Present	Present	0.142857142857143	0	0	0	0.285714285714286	2	0	1	3	0	Low	No	0	Not applicable	Not applicable	0	
Male	Foreigner	17	More than 5 criminal records	Violent against property	Violent	High	High	Low	High	High	Moderate	High	Low	High	High	High	Low	High	High	High	High	High	High	High	Moderate	Moderate	Low	High	Low	Absent	Absent	Absent	Present	Absent	Absent	1.71428571428571	1.25	1.14285714285714	1.6	1	15	10	10	35	5	Moderate	No	0	Not applicable	Not applicable	0	
Male	Spanish	15	0 criminal records	Others	No violent	Low	Low	Low	Low	Low	Low	Low	Low	Low	Moderate	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Moderate	Absent	Present	Present	Present	Present	Absent	0	0	0	0	0.571428571428571	1	0	1	2	2	Low	Yes	1	Violent against property	Violent	3	
Male	Foreigner	17	1 or 2 criminal records	Violent against property	Violent	High	Moderate	High	High	Moderate	High	Moderate	Moderate	High	High	High	Moderate	High	Moderate	Moderate	Low	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Absent	Present	Present	Present	Present	Absent	1.57142857142857	1.5	1.28571428571429	0.4	0.857142857142857	16	7	9	32	2	Moderate	No	0	Not applicable	Not applicable	0	
Male	Spanish	14	More than 5 criminal records	Nonviolent against property	No violent	Moderate	Moderate	Moderate	Moderate	Low	Low	Low	Low	Low	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Absent	Absent	Absent	Absent	Absent	Absent	0.857142857142857	0	0.857142857142857	0.8	1	5	4	8	17	6	Moderate	Yes	5	Against people	Violent	4	
Male	Spanish	15	0 criminal records	Nonviolent against property	No violent	Low	Moderate	Low	Low	Low	Low	Low	Low	Low	Moderate	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Moderate	Present	Present	Present	Present	Present	Present	0.142857142857143	0	0	0	0.285714285714286	2	0	1	3	0	Low	No	0	Not applicable	Not applicable	0	
Male	Spanish	17	3 to 5 criminal records	Nonviolent against property	No violent	Low	High	Low	Low	Low	High	High	Low	High	High	Moderate	Low	High	Moderate	Low	High	Low	Low	Moderate	Low	Low	Low	Low	Low	Present	Present	Present	Present	Present	Present	0.571428571428571	1.5	0.285714285714286	0.6	0.285714285714286	10	6	1	17	0	Moderate	No	0	Not applicable	Not applicable	0	
Male	Spanish	14	0 criminal records	Violent against property	Violent	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Moderate	Low	Present	Present	Present	Present	Present	Present	0	0	0	0	0.142857142857143	0	0	1	1	0	Low	No	0	Not applicable	Not applicable	0	
Male	Foreigner	15	0 criminal records	Against persons	Violent	Low	Low	Low	Low	Low	Moderate	Low	Low	Moderate	Moderate	Low	Low	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Low	Moderate	Moderate	Low	Low	Moderate	Absent	Present	Present	Present	Absent	Absent	0	0.5	0.714285714285714	0.4	0.714285714285714	3	3	5	11	3	High	No	0	Not applicable	Not applicable	0	
Male	Foreigner	16	1 or 2 criminal records	Against persons	Violent	Low	Low	Low	Low	Low	Moderate	Low	High	Low	Moderate	Moderate	Low	Low	Moderate	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Present	Present	Present	Present	Present	Present	0.142857142857143	0.75	0	0.2	0.142857142857143	4	2	0	6	0	Low	No	0	Not applicable	Not applicable	0	
Male	Spanish	17	More than 5 criminal records	Nonviolent against property	No violent	High	High	Low	Low	Moderate	Low	Low	Low	Low	Low	Low	Low	High	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Low	Low	Low	High	Present	Present	Absent	Present	Absent	Present	0.857142857142857	0	0.714285714285714	0.6	0.428571428571429	5	4	6	15	2	Moderate	No	0	Not applicable	Not applicable	0	
Male	Foreigner	16	3 to 5 criminal records	Nonviolent against property	No violent	High	Moderate	Low	Low	Low	Low	Low	Low	Low	High	High	Low	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Low	Low	Moderate	Moderate	Absent	Absent	Absent	Absent	Present	Absent	0.857142857142857	0	0.571428571428571	0.8	1	5	5	6	16	5	High	Yes	8	Against people	Violent	2	
Male	Foreigner	17	1 or 2 criminal records	Against persons	Violent	Moderate	Moderate	Low	Low	Low	Low	Low	Low	Moderate	Moderate	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Absent	Present	Present	Present	Present	Absent	0.285714285714286	0.25	0	0	0.428571428571429	4	0	0	4	2	Low	No	0	Not applicable	Not applicable	0	
Male	Spanish	15	0 criminal records	Against persons	Violent	Moderate	Low	Moderate	Moderate	Low	Low	Low	Low	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Low	Moderate	Low	Low	Moderate	Moderate	Moderate	Low	High	Present	Present	Present	Present	Present	Present	0.571428571428571	0.25	0.714285714285714	0.4	0.428571428571429	5	4	6	15	0	Low	No	0	Not applicable	Not applicable	0	
Male	Spanish	16	More than 5 criminal records	Others	No violent	High	High	Low	Moderate	Moderate	Low	High	Low	High	High	Moderate	Low	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Absent	Present	Absent	Absent	Absent	Present	1.14285714285714	1	0.857142857142857	0.6	1.14285714285714	12	4	9	25	4	Moderate	Yes	2	Violent against property	Violent	3	
Female	Spanish	14	1 or 2 criminal records	Against persons	Violent	High	Moderate	Moderate	High	High	High	Moderate	Low	Low	Moderate	High	Low	Moderate	High	Moderate	High	Moderate	Moderate	High	Moderate	Moderate	Low	Low	Moderate	Absent	Absent	Present	Present	Present	Absent	1.71428571428571	0.75	0.714285714285714	1.2	0.571428571428571	12	8	7	27	3	High	Yes	2	Nonviolent against property	No violent	1	
Male	Spanish	16	1 or 2 criminal records	Against persons	Violent	Moderate	Moderate	Low	Moderate	Low	Low	Low	Low	Low	High	Moderate	Low	Moderate	Moderate	Moderate	Low	High	Moderate	High	Moderate	High	Moderate	High	Moderate	Absent	Absent	Absent	Absent	Absent	Absent	0.857142857142857	0	1.14285714285714	0.8	1.28571428571429	5	4	12	21	6	Moderate	No	0	Not applicable	Not applicable	0	
